id,name,current_category,new_category
586,"NLK Plumbing","Roof Leak Repair Contractors","Commercial Plumbers"
587,"LH Plumbing","Roof Leak Repair Contractors","Commercial Plumbers"
588,"CM Plumbing & Gas Services","Roof Leak Repair Contractors","Commercial Plumbers"
589,"Crk Plumbing Pty Ltd","Roof Leak Repair Contractors","Commercial Plumbers"
590,"Newlands & Knights Plumbing","Roof Leak Repair Contractors","Commercial Plumbers"
591,"24 Hour melbourne Plumbers","Roof Leak Repair Contractors","Commercial Plumbers"
592,"Vic City Plumbing","Roof Leak Repair Contractors","Commercial Plumbers"
594,"Obsidian Roofing","Roof Leak Repair Contractors","Roofing Contractors"
595,"Harley & Sons Roofing","Roof Leak Repair Contractors","Roofing Contractors"
598,"Big Apple Roofing","Box Gutter Contractors","Roofing Contractors"
613,"Melbourne Brick & Blocklayers","Brick Repointing Contractors","Blocklayers"
640,"Auscut Concrete Drilling & Sawing","Selective Demolition Contractors","Concrete Saw Cutting"
642,"Ace Concrete Sawing Pty Ltd","Selective Demolition Contractors","Concrete Saw Cutting"
650,"Casabene Excavations Drainage & Plumbing","Drainage Contractors","Earthmoving Contractors"
665,"CCTV Installation Melbourne | Powered By Borderless Solutions","Security System Installers","Intercom Installers"
675,"Blue Star Refrigeration","Air Conditioning Contractors","Refrigeration Contractors"
774,"The Squeegee Squad Window Cleaning","High-Rise Window Cleaning (Rope Access)","Window Cleaners"
775,"Metropolitan Window Cleaning","High-Rise Window Cleaning (Rope Access)","Window Cleaners"
778,"Phoenix Window Cleaning & Maintenance Service","High-Rise Window Cleaning (Rope Access)","Window Cleaners"
780,"Melside Window Cleaning","High-Rise Window Cleaning (Rope Access)","Window Cleaners"
793,"Absolute Bird Control Pty Ltd","Pest Control Contractors","Bird Control Contractors"
879,"Fixzit Electrical & Plumbing","Roof Leak Repair Contractors","Commercial Plumbers"
880,"O'Brien Electrical And Plumbing Coopers Plains","Roof Leak Repair Contractors","Commercial Plumbers"
881,"Jim Monger Plumbing & Draining","Roof Leak Repair Contractors","Commercial Plumbers"
884,"All Plumbing Services","Roof Leak Repair Contractors","Commercial Plumbers"
889,"Charlie & Sons Plastering Service","Renderers","Plasterers"
921,"Total Asbestos Removal and Demolition","Asbestos Removal Contractors","Selective Demolition Contractors"
929,"Relient Demolition and Asbestos removal","Asbestos Removal Contractors","Selective Demolition Contractors"
933,"Southern Cross Concrete Cutting","Selective Demolition Contractors","Concrete Saw Cutting"
934,"SEQ Concrete Cuttiong Pty Ltd","Selective Demolition Contractors","Concrete Saw Cutting"
935,"Allied Concrete Cutting & Drilling Pty Ltd","Selective Demolition Contractors","Concrete Saw Cutting"
936,"Westside Concrete Cutting","Selective Demolition Contractors","Concrete Saw Cutting"
938,"Yarrow Plumbing Service Pty Ltd","Drainage Contractors","Commercial Plumbers"
939,"Logan Plumbing Service Pty Ltd","Drainage Contractors","Commercial Plumbers"
942,"Ashmore Plumbing Service","Pipe Relining Contractors","Commercial Plumbers"
944,"Fixzit Plumbing & Electrical","Commercial Electricians","Commercial Plumbers"
972,"Cardiff Air Control Systems Pty Ltd","Remedial Contractors","Air Conditioning Contractors"
978,"Regent Skylights","Remedial Contractors","Skylight Installers"
993,"iFIX Automatic Gates & Doors","Garage Door Installers","Door Installers"
1051,"Brisbane Commercial Cleaning and Pest Control","Commercial Cleaners","Pest Control Contractors"
1057,"Queensland Window Cleaning","High-Rise Window Cleaning (Rope Access)","Window Cleaners"
1058,"Reflections Window Cleaning","High-Rise Window Cleaning (Rope Access)","Window Cleaners"
1063,"Carpet Cleaning Kings","Pressure Washing Contractors","Carpet Cleaners"
1088,"Online Waterproofing SHop","Waterproofing Suppliers","Licensed Waterproofers"
1089,"OnlineWaterproofingShop","Waterproofing Suppliers","Licensed Waterproofers"
1135,"Modern Masterpiece Painting","Licensed Waterproofers","Painters"
1142,"Noble Roof Restoration & Repairs","Roofing Contractors","Roof Leak Repair Contractors"
1143,"A Able Plumbing & Gas","Roof Leak Repair Contractors","Commercial Plumbers"
1144,"Casotti Plumbers Commercial & Domestic","Roof Leak Repair Contractors","Commercial Plumbers"
1145,"GXR Plumbing & Gas","Roof Leak Repair Contractors","Commercial Plumbers"
1146,"The Plumbing and Gas Guys","Roof Leak Repair Contractors","Commercial Plumbers"
1147,"JCS Plumbing","Roof Leak Repair Contractors","Commercial Plumbers"
1148,"Know Plumbing","Roof Leak Repair Contractors","Commercial Plumbers"
1149,"Mackie Plumbing and Gas","Roof Leak Repair Contractors","Commercial Plumbers"
1151,"Flash Roof Plumbing","Box Gutter Contractors","Roof Plumbers"
1167,"Timber Decking Supply Shed","Balustrade Contractors","Decking Contractors"
1195,"Concrete Cutting Perth","Selective Demolition Contractors","Concrete Saw Cutting"
1196,"Cutwell Concrete Sawing & Drilling","Selective Demolition Contractors","Concrete Saw Cutting"
1197,"Concrete Cut N Core","Selective Demolition Contractors","Concrete Saw Cutting"
1223,"Plantech Grounds Maintenance","Landscape Contractors","Garden Maintenance Contractors"
