id,name,current_category
216,"Pizzey Streetscapes","Balustrade Contractors"
219,"Chatterton Lacework Pty Ltd","Balustrade Contractors"
220,"Downee","Balustrade Contractors"
221,"Drizign Pty Ltd","Balustrade Contractors"
222,"Ezywood","Balustrade Contractors"
224,"Teluta Pty Ltd","Bricklayers"
227,"Project Blueprint Sydney","Remedial Consultants"
229,"Effective Building & Consultancy","Remedial Consultants"
230,"PeL Contractors","Remedial Consultants"
231,"Anthony Grieve Pty Ltd","Remedial Consultants"
232,"Building Durability Pty Ltd","Remedial Consultants"
233,"Infinity Environmental Pty Ltd","Remedial Consultants"
235,"Project Planning Associates","Remedial Consultants"
236,"Donald Cant Watts Corke (NSW) Pty Ltd","Quantity Surveyors"
240,"Depreciator","Quantity Surveyors"
241,"Leary & Partners","Quantity Surveyors"
242,"Project Analysis Pty Ltd","Quantity Surveyors"
243,"Osborne+Song","Quantity Surveyors"
244,"Northcroft (Australia) Pty Ltd","Quantity Surveyors"
245,"Archi-QS","Quantity Surveyors"
246,"Asia Pacific Depreciation","Quantity Surveyors"
247,"Amoura ConSol","Quantity Surveyors"
250,"Michael Ell & Associates Pty Ltd","Project Managers"
251,"West and Associates Pty Ltd","Remedial Contractors"
252,"Association of Australian Acoustical Consultants","Consultants & Practitioners"
253,"HRS Trailers","Concrete Spalling Contractors"
254,"Ultimate Water Seal","Licensed Waterproofers"
255,"Andersal Pty Ltd","Licensed Waterproofers"
259,"Izico","Roofing Contractors"
264,"FutureCert","Building Surveyors & Certifiers"
265,"New Crown Consulting","Building Surveyors & Certifiers"
266,"Murrow Consulting Pty Ltd","Building Surveyors & Certifiers"
267,"BCA Performance Pty Ltd","Building Surveyors & Certifiers"
268,"Precise Spatial","Building Surveyors & Certifiers"
269,"Private Certifiers Australia","Building Surveyors & Certifiers"
270,"Sydney Building Approvals Centre","Building Surveyors & Certifiers"
271,"Express Approvals","Building Surveyors & Certifiers"
272,"Buildcert.","Building Surveyors & Certifiers"
274,"Urban Approvals Pty Ltd","Building Surveyors & Certifiers"
276,"North Shore Guttering","Box Gutter Contractors"
278,"North Shore Gutter Cleaning","Box Gutter Contractors"
279,"Bracey Peter & Lesley Home Improvements","Cladding Contractors"
280,"Mitten Vinyl Australia","Cladding Contractors"
282,"ATCO Windows","Window Replacement Contractors"
283,"Wizard Glass","Window Replacement Contractors"
284,"The Window Guy","Window Replacement Contractors"
285,"Spectrum Art Glass","Glaziers"
287,"Hanlon Windows","Glaziers"
288,"Express Glass","Glaziers"
289,"Ecco Hardware Pty Ltd","Glaziers"
290,"Magic Glass","Balustrade Contractors"
291,"Railsafe","Balustrade Contractors"
293,"Alexandria Wrought Iron P/L","Balustrade Contractors"
295,"Made Contracting","Balustrade Contractors"
301,"Wollombi Sandstone","Stone Restoration Contractors"
302,"FSS Group","Scaffold Companies"
303,"Saferway Pty Ltd","Scaffold Companies"
304,"Ace Building Equipment Hire","Scaffold Companies"
305,"Stronghold Hire Pty Ltd","Scaffold Companies"
307,"Access By Rope","Rope Access Contractors"
309,"5th Point Access Training & Solutions","Rope Access Contractors"
312,"Warrabinya Services","Concrete Scanning"
313,"High Exposure","Drone Inspection"
314,"Daly.Smith Pty Ltd","Drone Inspection"
315,"Work And Travel Company Pty Ltd","Asbestos Removal Contractors"
317,"Murphy Remedial Services","Asbestos Removal Contractors"
318,"CMA Contracting","Asbestos Removal Contractors"
319,"BBN Consulting","Asbestos Removal Contractors"
320,"Greencap","Asbestos Removal Contractors"
322,"Democorp Australia","Asbestos Removal Contractors"
324,"ABC Demo Group","Selective Demolition Contractors"
328,"Perfect Concrete Care","Selective Demolition Contractors"
330,"Mastercut Concrete Aust Pty Ltd","Selective Demolition Contractors"
334,"Aquabocci","Drainage Contractors"
335,"FLUSH N FLOW PTY LTD","Drainage Contractors"
339,"Aussie Electrical Services","Commercial Electricians"
340,"Micron Group","Commercial Electricians"
341,"Alland Group Pty Ltd","Commercial Electricians"
342,"Simply Strata","Commercial Electricians"
346,"Bbsm Services","Commercial Electricians"
347,"Macarthur Electrical Connection Services","Commercial Electricians"
348,"Lightsource BP","Remedial Contractors"
351,"LECA (Lighting Energy Conservation Australia)","Remedial Contractors"
353,"Energus Pty Ltd","Remedial Contractors"
355,"Sunboost Australia","Remedial Contractors"
357,"Talentech Pty Ltd","Remedial Contractors"
358,"International Operations Group Pty Ltd","Remedial Contractors"
359,"Heavenly Connected","Remedial Contractors"
360,"Complete Business Group","Remedial Contractors"
361,"Global Anti-Scam Centre","Remedial Contractors"
362,"Bitlogic","Remedial Contractors"
363,"CB Climate Control","Air Conditioning Contractors"
364,"Great Air Service And Property","Air Conditioning Contractors"
366,"Air Comfort Co of Australia Pty Ltd","Air Conditioning Contractors"
370,"Hytec Cooling Pty Ltd","Air Conditioning Contractors"
374,"Doctor Damp","Remedial Contractors"
375,"Air Change Australia Pty Ltd","Remedial Contractors"
376,"The Fire Protection Specialist Company","Fire Sprinkler Contractors"
377,"Eagle Fire Protection","Fire Sprinkler Contractors"
378,"Premier Fire Protection","Fire Sprinkler Contractors"
379,"MAJESTIC FIRE PROTECTION","Fire Sprinkler Contractors"
380,"Eagle Consulting Group","Fire Sprinkler Contractors"
381,"Fire Nation - Fire Protection Services","Fire Sprinkler Contractors"
382,"Fire Service Plus","Fire Sprinkler Contractors"
383,"Control Fire Protection Sydney","Fire Sprinkler Contractors"
384,"Fire & Rescue NSW - Fire Stations - Sydney","Fire Sprinkler Contractors"
385,"Fire & Rescue NSW - Fire Stations - Sydney (The Rocks)","Fire Sprinkler Contractors"
386,"Fire & Rescue NSW - Fire Stations - Pyrmont","Fire Sprinkler Contractors"
387,"PRO MAX VISION","Remedial Contractors"
388,"Bismac Pty Ltd","Fire Door Contractors"
400,"B & J Talbot Auto Doors","Garage Door Installers"
403,"Affordable Openings","Remedial Contractors"
408,"Superior Doors","Remedial Contractors"
411,"BPT Intercom Systems","Security System Installers"
412,"EOS Australia","Remedial Contractors"
414,"Sommer Security","Security System Installers"
415,"Security 1 (S1)","Security System Installers"
416,"MSS Security","Security System Installers"
418,"Golden Harmony Care","Remedial Contractors"
419,"Downie Lifts","Lift Maintenance Contractors"
420,"Otis Elevator Company Pty Ltd","Lift Maintenance Contractors"
421,"PRKING & SONS","Lift Maintenance Contractors"
422,"EcoLift","Lift Maintenance Contractors"
423,"Directlifts Australia","Lift Maintenance Contractors"
424,"Elevate Vitality","Lift Maintenance Contractors"
425,"Fitness First","Lift Maintenance Contractors"
426,"Elevate Property Group","Lift Maintenance Contractors"
427,"Elevator Removal Specialists","Lift Maintenance Contractors"
428,"Elev8 Design & Development","Lift Maintenance Contractors"
431,"Surface Tiles","Tilers"
435,"MK Master Pty Ltd","Painters"
439,"Viaduct Imports","Epoxy Flooring Contractors"
440,"Mint Floors & Shutters","Epoxy Flooring Contractors"
441,"A J Flooring","Epoxy Flooring Contractors"
442,"Statement Floors","Epoxy Flooring Contractors"
443,"Divine Surface Solutions","Epoxy Flooring Contractors"
445,"Corrimal Discount Tiles","Epoxy Flooring Contractors"
446,"sphinx bathrooms and kitchens pty ltd","Carpenters"
